Lesson,Language
0.0.0,en
0.0.0,fr
0.0.0,zh
1.0.-1,ar
1.0.-1,en
1.0.-1,es
1.0.-1,fr
1.0.-1,pt
1.0.-1,ru
1.0.-1,zh
1.0.0,ar
1.0.0,en
1.0.0,es
1.0.0,fr
1.0.0,pt
1.0.0,ru
1.0.0,zh
1.1.0,ar
1.1.0,en
1.1.0,es
1.1.0,fr
1.1.0,pt
1.1.0,ru
1.1.0,zh
1.1.1,ar
1.1.1,en
1.1.1,es
1.1.1,fr
1.1.1,pt
1.1.1,ru
1.1.1,zh
1.1.3,ar
1.1.3,en
1.1.3,es
1.1.3,fr
1.1.3,pt
1.1.3,ru
1.1.3,zh
1.2.0,ar
1.2.0,en
1.2.0,es
1.2.0,fr
1.2.0,pt
1.2.0,ru
1.2.0,zh
1.2.3,ar
1.2.3,en
1.2.3,es
1.2.3,fr
1.2.3,pt
1.2.3,ru
1.2.3,zh
1.3.0,ar
1.3.0,en
1.3.0,es
1.3.0,fr
1.3.0,pt
1.3.0,ru
1.3.0,zh
1.4.0,ar
1.4.0,en
1.4.0,es
1.4.0,fr
1.4.0,pt
1.4.0,ru
1.4.0,zh
1.4.3,ar
1.4.3,en
1.4.3,es
1.4.3,fr
1.4.3,pt
1.4.3,ru
1.4.3,zh
2.0.0,ar
2.0.0,en
2.0.0,es
2.0.0,fr
2.0.0,pt
2.0.0,ru
2.0.0,zh
2.1.0,ar
2.1.0,en
2.1.0,es
2.1.0,fr
2.1.0,pt
2.1.0,ru
2.1.0,zh
2.2.0,ar
2.2.0,en
2.2.0,es
2.2.0,fr
2.2.0,pt
2.2.0,ru
2.2.0,zh
2.3.0,ar
2.3.0,en
2.3.0,es
2.3.0,fr
2.3.0,pt
2.3.0,ru
2.3.0,zh
3.0.0,ar
3.0.0,en
3.0.0,es
3.0.0,fr
3.0.0,pt
3.0.0,ru
3.0.0,zh
3.1.0,ar
3.1.0,en
3.1.0,es
3.1.0,fr
3.1.0,pt
3.1.0,ru
3.1.0,zh
3.2.0,ar
3.2.0,en
3.2.0,es
3.2.0,fr
3.2.0,pt
3.2.0,ru
3.2.0,zh
3.3.0,ar
3.3.0,en
3.3.0,es
3.3.0,fr
3.3.0,pt
3.3.0,ru
3.3.0,zh
3.4.0,ar
3.4.0,en
3.4.0,es
3.4.0,fr
