json_path,sentence_idx,sentence_text,sentence_hash
"['segments', 0, 'content', 'intro']",0,"Congratulations, you have concluded",cb62ae613aa68c19a41150d28fce1fd109ac37fb1322c2a1cc8e318fc88aad1c
"['segments', 0, 'content', 'title']",0,Module 8,8f06533941333b610efed69ff66ddd036296d6d45807dcc3481f31e30ebeaa5d
"['segments', 0, 'content', 'body']",0,Thank you for taking the time to complete the survey!,417a8da3693cb518ecb08774bf44b4fde78fc36ce21b4ad782587ab3e75d7511
"['segments', 0, 'content', 'body']",1,Your insights are invaluable to us and help us continuously improve our modules.,26ab5eb9a976f829bb9c6b52535fde7a167ef10cc12d03afaf4e388c93cf967c
"['segments', 0, 'content', 'body']",2,We hope you found this learning experience valuable and engaging.,32581899b56629767d6fd86c26f2252d6ee0e5f7821db474007c043220a8bee1
"['segments', 0, 'content', 'nextBlock', 'intro']",0,Graded Quiz,decd08b7e8cc8be628bd37326ef9d8f0a253489ad86516dd0d2f3e02e5d0717a
"['segments', 0, 'content', 'nextBlock', 'title']",0,Title of the quiz,c2b03b7a6558051165bafcd936bfcb46c31ed3a5c248a872e9ddf827a52b96a5
"['segments', 0, 'content', 'nextBlock', 'cta']",0,Test your knowledge,2a2499f1f86d544069a503d2ed68265cb4fabd0394c278786ebff8f6f7d806c2
"['segments', 1, 'content', 'intro']",0,Next up,c5ae65235e0aa6ba5ccb0c1985dff33587cba83fec6429f303918aef2e0de793
"['segments', 1, 'content', 'title']",0,Module 8 Outro,39c5b604d148ad88fd8b9921b19af6c143d5cdc2ef6d05a1aa992dadc52e28c5
"['segments', 1, 'content', 'cta']",0,Start learning,ac1796280ca0f3c1cde0883e9bf82901393b7816878e56a97af1969f982e5e64
